station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Abbey Road,,,,,,,,,,,,,,,,55.0,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,66.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,3.0,2.0,,,,,,,,2.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,5.0,,,3.0,,,,,6.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,11.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,9.0,,,,,232.0,15.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,3.0,,3.0,,,,,,,,,,,,,,,5.0,599.0
Acton Central,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,12.0,,,,,,,,,,,,,11.0,14.0,,,,,3.0,,10.0,,22.0,,54.0,,,,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,10.0,,11.0,,,,,,,,,,,,,,,3.0,,,,,,,,72.0,,,,,,16.0,,,,,,,,,,,,,16.0,,,,,,119.0,11.0,,6.0,6.0,,,,22.0,,30.0,,4.0,9.0,,1.0,,3.0,,,,,,,,2.0,80.0,,,,,,9.0,,,,,,10.0,,,,,,,11.0,23.0,,,9.0,7.0,18.0,,5.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,53.0,,,,,,,,,,,,,,25.0,,,,25.0,,,,61.0,,4.0,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,12.0,102.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,4.0,6.0,15.0,,,,,,,48.0,,,,,,,,,,3.0,51.0,,79.0,,,,,,,1.0,,,1223.0
Acton Town,,,,18.0,18.0,,9.0,1.0,,20.0,6.0,2.0,1.0,40.0,10.0,116.0,21.0,10.0,1.0,24.0,4.0,,,1.0,7.0,9.0,11.0,27.0,6.0,,52.0,10.0,14.0,2.0,,4.0,,,14.0,,4.0,,,,,2.0,,,6.0,,,,17.0,37.0,73.0,24.0,14.0,,2.0,,,1.0,5.0,37.0,22.0,,,,,50.0,2.0,7.0,,,5.0,5.0,,1.0,5.0,3.0,15.0,,,1.0,,,,,1.0,2.0,,,,,,,3.0,66.0,41.0,36.0,11.0,4.0,4.0,,9.0,2.0,2.0,24.0,,18.0,,,29.0,,,,39.0,23.0,,47.0,5.0,11.0,,15.0,,,21.0,,1.0,,27.0,5.0,5.0,19.0,,,,21.0,68.0,6.0,,47.0,,,,,,115.0,6.0,,,,,,,10.0,,6.0,,3.0,4.0,8.0,5.0,,,26.0,,45.0,3.0,1.0,51.0,11.0,6.0,,,,6.0,7.0,3.0,,11.0,1.0,,,,5.0,,,,10.0,,,8.0,7.0,,,,63.0,3.0,27.0,14.0,6.0,9.0,,9.0,27.0,,4.0,,4.0,,,91.0,58.0,,,,,4.0,,20.0,21.0,,16.0,9.0,2.0,,45.0,4.0,10.0,,,,,1.0,23.0,11.0,12.0,,,17.0,3.0,6.0,3.0,2.0,,24.0,1.0,31.0,6.0,8.0,93.0,59.0,24.0,14.0,,,3.0,38.0,19.0,1.0,3.0,,,2.0,,,12.0,,,2.0,,24.0,3.0,,1.0,12.0,27.0,2.0,,,,,6.0,,1.0,,2.0,16.0,,18.0,,,37.0,5.0,,,31.0,,,17.0,,3.0,56.0,,,1.0,,,2.0,,6.0,2.0,27.0,,38.0,13.0,31.0,15.0,,,,5.0,6.0,,,63.0,,,3.0,3.0,,9.0,,20.0,,,4.0,10.0,46.0,7.0,1.0,,20.0,2.0,,31.0,3.0,2.0,,1.0,,4.0,10.0,40.0,82.0,9.0,,,,,,42.0,,54.0,2.0,,,,13.0,7.0,30.0,,,11.0,18.0,1.0,,12.0,,,9.0,,41.0,25.0,,32.0,4.0,,16.0,3.0,5.0,13.0,,2.0,,2.0,,3749.0
Aldgate,,,2.0,,47.0,,,0.0,,21.0,3.0,1.0,1.0,20.0,5.0,271.0,41.0,6.0,0.0,3.0,1.0,,,,4.0,9.0,16.0,34.0,3.0,,27.0,13.0,1.0,1.0,,4.0,1.0,,7.0,,,,,,0.0,1.0,,,4.0,,,,11.0,31.0,57.0,16.0,26.0,,1.0,,,0.0,3.0,37.0,15.0,0.0,,0.0,,,0.0,3.0,,,3.0,2.0,,0.0,2.0,1.0,11.0,,,0.0,,,,,,,,,1.0,,,,1.0,3.0,1.0,7.0,2.0,2.0,3.0,,2.0,0.0,1.0,10.0,,17.0,,,22.0,,,0.0,28.0,15.0,0.0,75.0,2.0,4.0,,9.0,,,5.0,,1.0,,7.0,2.0,1.0,12.0,,,,12.0,34.0,1.0,,4.0,,,,,0.0,13.0,3.0,,1.0,2.0,,,1.0,2.0,,1.0,,0.0,1.0,1.0,2.0,,1.0,6.0,,29.0,1.0,0.0,43.0,3.0,4.0,,,,1.0,1.0,0.0,,5.0,0.0,,,,4.0,1.0,,,6.0,,,1.0,2.0,,1.0,,55.0,1.0,10.0,3.0,4.0,3.0,,2.0,17.0,,2.0,,3.0,,,409.0,85.0,,,1.0,2.0,2.0,,34.0,10.0,,7.0,10.0,1.0,0.0,134.0,1.0,6.0,,1.0,,,1.0,3.0,,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,7.0,0.0,59.0,1.0,6.0,53.0,20.0,,3.0,,,1.0,23.0,8.0,0.0,2.0,,,0.0,,,3.0,3.0,,0.0,3.0,,0.0,,0.0,,3.0,1.0,,,,,2.0,,0.0,0.0,0.0,12.0,,10.0,,,9.0,1.0,,,11.0,1.0,,1.0,,0.0,16.0,0.0,,0.0,,2.0,1.0,,1.0,1.0,27.0,,22.0,6.0,46.0,1.0,,1.0,,7.0,4.0,,1.0,50.0,,,0.0,0.0,,4.0,,19.0,,,2.0,4.0,32.0,4.0,0.0,,104.0,1.0,,2.0,1.0,,,,,3.0,2.0,17.0,39.0,6.0,,,1.0,,,26.0,2.0,44.0,1.0,,,1.0,4.0,1.0,6.0,,0.0,8.0,6.0,0.0,,2.0,0.0,,2.0,,27.0,6.0,,55.0,1.0,4.0,4.0,,3.0,2.0,,1.0,,1.0,,2882.0
Aldgate East,,,2.0,52.0,,,1.0,0.0,,23.0,4.0,1.0,1.0,22.0,5.0,270.0,42.0,8.0,0.0,4.0,1.0,,,1.0,4.0,9.0,17.0,36.0,4.0,,30.0,14.0,1.0,1.0,,5.0,1.0,,8.0,,6.0,,,,0.0,1.0,,,5.0,,,,12.0,47.0,81.0,22.0,27.0,,1.0,,,,3.0,39.0,17.0,,,0.0,,2.0,,4.0,,,3.0,3.0,,0.0,2.0,1.0,12.0,,,,,,,,1.0,1.0,,,1.0,,,,1.0,4.0,1.0,8.0,2.0,2.0,4.0,,2.0,0.0,1.0,11.0,,19.0,0.0,,24.0,,,0.0,30.0,17.0,0.0,79.0,2.0,5.0,,10.0,,,5.0,,1.0,,7.0,3.0,1.0,14.0,,,0.0,14.0,38.0,1.0,,4.0,,,,,0.0,15.0,3.0,,2.0,2.0,,,1.0,2.0,,1.0,,1.0,1.0,1.0,2.0,,1.0,7.0,,32.0,2.0,0.0,46.0,3.0,4.0,,,1.0,1.0,1.0,0.0,,5.0,,,,,4.0,1.0,,3.0,6.0,,,1.0,3.0,,2.0,,60.0,1.0,11.0,3.0,5.0,4.0,,2.0,19.0,,3.0,,3.0,,,362.0,89.0,,,1.0,2.0,3.0,,35.0,11.0,,8.0,15.0,1.0,,130.0,2.0,7.0,,1.0,,,1.0,3.0,0.0,11.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,,7.0,1.0,61.0,1.0,7.0,58.0,22.0,1.0,3.0,,,1.0,25.0,9.0,0.0,3.0,,,1.0,,,3.0,3.0,,1.0,3.0,2.0,0.0,,0.0,7.0,4.0,,0.0,,,,2.0,,0.0,,0.0,13.0,,11.0,,,10.0,1.0,,,13.0,1.0,,1.0,,0.0,18.0,,,0.0,,2.0,1.0,,2.0,1.0,29.0,,24.0,6.0,49.0,1.0,,1.0,,13.0,4.0,,1.0,69.0,,,0.0,0.0,,4.0,,21.0,,0.0,2.0,5.0,35.0,4.0,0.0,,88.0,1.0,,2.0,2.0,1.0,1.0,1.0,,3.0,2.0,19.0,43.0,6.0,,,1.0,,,28.0,2.0,48.0,1.0,,,1.0,5.0,1.0,7.0,,0.0,12.0,7.0,,,2.0,0.0,,2.0,,29.0,6.0,,140.0,1.0,4.0,5.0,1.0,3.0,2.0,,1.0,,1.0,,3167.0
All Saints,,,,,,,,,,,,,,,,83.0,,,,,,1.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,244.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,3.0,5.0,2.0,,,,,,,2.0,7.0,,,,,,,,11.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,43.0,,,5.0,,,,,15.0,,,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,22.0,,,3.0,,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,21.0,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,87.0,,4.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,7.0,,,,,12.0,,,,,,,,,,,,,,,6.0,739.0
Alperton,,,14.0,,10.0,,,1.0,,11.0,,1.0,1.0,20.0,,62.0,11.0,6.0,,9.0,2.0,,,,,5.0,,14.0,4.0,,26.0,,4.0,1.0,,,,,7.0,,,,,,,,,,3.0,,,,9.0,20.0,41.0,13.0,7.0,,,,,1.0,,19.0,11.0,,,,,8.0,,,,,,,,0.0,,,8.0,,,1.0,,,,,,,,,,,,,,23.0,9.0,15.0,,,3.0,,4.0,2.0,,12.0,,9.0,,,15.0,,,,20.0,,,25.0,,6.0,,8.0,,,10.0,,,,12.0,,2.0,10.0,,,,,33.0,,,15.0,,,,,,40.0,,,,,,,,10.0,,3.0,,2.0,2.0,4.0,,,1.0,12.0,,24.0,,1.0,26.0,,3.0,,,,3.0,3.0,1.0,,5.0,1.0,,,,3.0,,,,,,,3.0,,,,,33.0,,13.0,6.0,3.0,,,4.0,13.0,,2.0,,2.0,,,49.0,30.0,,,,,2.0,,11.0,,,,5.0,,,24.0,2.0,5.0,,,,,1.0,,5.0,7.0,,,5.0,,6.0,3.0,2.0,,11.0,1.0,17.0,2.0,,47.0,28.0,24.0,6.0,,,,19.0,9.0,1.0,,,,,,,6.0,,,,,8.0,3.0,,,,12.0,2.0,,,,,3.0,,1.0,,2.0,8.0,,10.0,,,,2.0,,,15.0,,,4.0,,4.0,25.0,,,,,,,,3.0,1.0,14.0,,19.0,,16.0,4.0,,,,3.0,3.0,,,36.0,,,4.0,6.0,,,,10.0,,,2.0,6.0,24.0,4.0,,,11.0,,,7.0,2.0,,,,,2.0,9.0,21.0,40.0,5.0,,,,,,21.0,,27.0,2.0,,,,,,13.0,,,6.0,,1.0,,5.0,,,4.0,,21.0,,,18.0,,,9.0,2.0,3.0,5.0,,,,,,1622.0
Amersham,,,4.0,8.0,8.0,,2.0,,,9.0,3.0,,1.0,15.0,,48.0,9.0,6.0,,4.0,,,,,,4.0,5.0,11.0,,,19.0,4.0,,,,,,,5.0,,,,,,,,,,3.0,,,,7.0,16.0,35.0,12.0,5.0,,1.0,,,10.0,2.0,14.0,8.0,2.0,,,,3.0,7.0,3.0,,,,2.0,,,,,5.0,,,2.0,,,,,,,,,,,,,2.0,6.0,2.0,7.0,,,,,,1.0,,8.0,,7.0,,,10.0,,,,,9.0,,21.0,,5.0,,7.0,,,5.0,,,,6.0,,1.0,,,,,8.0,22.0,,,,,,,,,16.0,,,,,,,,7.0,,,,,,,,,,6.0,,21.0,,1.0,19.0,,3.0,,,,,,,,3.0,1.0,,,,,1.0,,,4.0,,,1.0,4.0,,,,27.0,2.0,8.0,3.0,2.0,,,2.0,9.0,,,,,,,40.0,23.0,,,,2.0,2.0,,8.0,7.0,,6.0,4.0,,3.0,20.0,,,,2.0,,,,4.0,,6.0,1.0,,,,4.0,4.0,2.0,,6.0,,14.0,1.0,3.0,34.0,18.0,3.0,3.0,,,,13.0,6.0,1.0,,,,1.0,,,3.0,3.0,,1.0,,,1.0,,,5.0,,6.0,,,,,,,1.0,,1.0,6.0,,9.0,,,10.0,1.0,,,9.0,,,,,,14.0,,,,,,,,,,10.0,,13.0,6.0,13.0,,,2.0,,,,,,34.0,,,1.0,1.0,,4.0,,8.0,,,,5.0,17.0,,,,8.0,,,,,,,,,2.0,6.0,14.0,26.0,6.0,,,,,,16.0,2.0,20.0,3.0,,,,10.0,,6.0,,,6.0,8.0,1.0,,,,,2.0,,14.0,7.0,,15.0,2.0,6.0,6.0,,3.0,2.0,,,,,,1185.0
Anerley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,15.0,,109.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,7.0,8.0,,,,11.0,,,,,,,,,,,,,,,,,,73.0,,,,,,10.0,9.0,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,24.0,,,,,,,,,,9.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,44.0,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,36.0,,,,,,,,,,,,,,78.0,,,,,,,,,,,,641.0
Angel,,,4.0,35.0,33.0,,1.0,0.0,,,8.0,2.0,2.0,56.0,7.0,227.0,44.0,9.0,1.0,6.0,3.0,,,1.0,9.0,11.0,17.0,37.0,6.0,,63.0,14.0,1.0,2.0,,4.0,1.0,,10.0,,5.0,,,,0.0,1.0,,,12.0,,,,31.0,40.0,76.0,22.0,24.0,,1.0,,,1.0,7.0,62.0,27.0,0.0,,0.0,,3.0,1.0,5.0,,,4.0,4.0,,1.0,4.0,2.0,23.0,,,0.0,,,,,1.0,2.0,,,1.0,,,,2.0,6.0,2.0,13.0,3.0,3.0,4.0,,4.0,1.0,2.0,25.0,,21.0,0.0,,34.0,,,1.0,102.0,54.0,0.0,99.0,4.0,10.0,,22.0,,,8.0,,1.0,,12.0,5.0,1.0,34.0,,,0.0,39.0,69.0,2.0,,7.0,,,,,1.0,24.0,7.0,,3.0,4.0,,,,4.0,,1.0,,1.0,1.0,2.0,4.0,,2.0,12.0,,82.0,3.0,0.0,97.0,6.0,10.0,,,1.0,1.0,1.0,1.0,,10.0,0.0,,,,5.0,2.0,,,14.0,,,2.0,5.0,,3.0,,279.0,2.0,19.0,6.0,6.0,7.0,,3.0,36.0,,3.0,,4.0,,,207.0,87.0,,,1.0,4.0,5.0,,33.0,21.0,,19.0,11.0,2.0,1.0,119.0,2.0,20.0,,2.0,,,1.0,5.0,1.0,11.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,,13.0,1.0,126.0,1.0,8.0,126.0,49.0,2.0,6.0,,,1.0,47.0,14.0,1.0,3.0,,,1.0,,,5.0,6.0,,1.0,6.0,4.0,1.0,,1.0,,6.0,1.0,0.0,,,,4.0,,0.0,0.0,1.0,41.0,,19.0,,,18.0,1.0,,,20.0,1.0,,1.0,,1.0,31.0,1.0,,1.0,,2.0,2.0,,3.0,2.0,31.0,,34.0,13.0,47.0,2.0,,1.0,,8.0,5.0,,2.0,66.0,,,0.0,0.0,,8.0,,22.0,,0.0,3.0,7.0,69.0,7.0,1.0,,33.0,3.0,,3.0,3.0,1.0,1.0,1.0,,4.0,3.0,29.0,67.0,8.0,,,1.0,,,84.0,5.0,57.0,1.0,,,3.0,8.0,1.0,12.0,,0.0,11.0,14.0,0.0,,4.0,0.0,,5.0,,41.0,11.0,,50.0,2.0,8.0,7.0,1.0,5.0,4.0,,1.0,,2.0,,4198.0
